# Urdu word -> IPA, as espeak-ng says it.
# Written by tools/urdu/lexbuild.py; do not edit by hand.
# 101580 words, of which 7504 had to be asked one at a time.
؁	sˈan
آفس	ˈaːfɪs
آفسز	ˈaːfəsˌəz
آفسوں	ˈaːfsˌõː
آفسٹ	aːfˈʌsʈ
آفل	ˈaːfəl
آفندی	aːfˈʌndi
آفوس	aːfˈoːs
آفٹر	ˈaːfəʈˌər
آفیت	ˌaːfiˈat
آفیسر	aːfˈiːsər
آفیسرز	ˌaːfisˈʌrz
آفیشل	aːfˈiːʃəl
آفیشلز	aːfˈiːʃəlˌəz
آفیں	ˈaːfẽː
آقا	ˈaːqaː
آقاؤں	ˌaːqaːˈoːn
آقائی	aːqˈaːi
آقائیاں	aːqˈaːjãː
آقائیت	ˌaːqaːiˈat
آقائیتوں	ˌaːqaːˈiːtõː
آقائیتیں	ˌaːqaːiˈatẽː
آقائیوں	aːqˈaːiˌõː
آقائے	aːqˈaːeː
آقاسی	aːqˈaːsi
آقتدبیگی	ˌaːqətˌədbˈiːɡi
آل	ˈaːl
آلا	ˈaːlaː
آلائش	aːlˈaɪʃ
آلائشوں	aːlˈaɪʃõː
آلائشی	aːlˈaɪʃi
آلائشیں	aːlˈaɪʃẽː
آلابالا	ˌaːlaːbˈaːlaː
آلات	ˌaːlˈaːt
آلاتی	aːlˈaːti
آلاراسی	ˌaːlaːrˈaːsi
آلاراسیاں	ˌaːlaːrˈaːsjãː
آلام	aːlˈaːm
آلان	aːlˈaːn
آلانوں	aːlˈaːnõː
آلاپ	aːlˈaːp
آلاپا	aːlˈaːpaː
آلاپتا	aːlˈaːptˌaː
آلاپتی	aːlˈaːptˌiː
آلاپتیں	aːlˈaːptˌẽː
آلاپتے	aːlˈaːptˌeː
آلاپنا	aːlˈaːpnˌaː
آلاپنی	aːlˈaːpnˌiː
آلاپنے	aːlˈaːpnˌeː
آلاپی	aːlˈaːpi
آلاپیں	aːlˈaːpẽː
آلاپیے	aːlˈaːpjeː
آلاپے	aːlˈaːpeː
آلایش	ˌaːlaːjˈaʃ
آلب	ˈaːləb
آلت	ˈaːlət
آلتا	ˈaːltˌaː
آلتمغا	ˈaːlətˌəmɣˌaː
آلدہ	ˈaːldˌa
آلس	ˈaːləs
آلسی	ˈaːlsˌiː
آلسیا	aːlˈʌsjaː
آلسیوں	ˈaːlsˌiõː
آلغہ	ˈaːləɣa
آلف	ˈaːləf
آلفتگان	ˌaːləfˌətɡˈaːn
آلفتگی	ˈaːləfˌətɡˌiː
آلفتگیاں	ˌaːləfətˈʌɡjãː
آلفتہ	ˈaːləfta
آلفہ	ˈaːləfa
آلن	ˈaːlən
آلنگ	ˈaːlənɡ
آلنگن	ˈaːlənˌəɡən
آلنگی	ˈaːlənɡi
آلو	ˈaːluː
آلوؤ	aːlˈuːoː
آلوؤں	ˌaːluːˈoːn
آلوبخارا	ˌaːluːbxˈaːraː
آلوبخاروں	ˌaːluːbxˈaːrõː
آلوبخارے	ˌaːluːbxˈaːreː
آلود	aːlˈuːd
آلودگی	aːlˈuːdɡˌiː
آلودگیاں	ˌaːluːdˈʌɡjãː
آلودگیوں	aːlˈuːdɡˌiõː
آلودہ	aːlˈuːda
آلوچہ	aːlˈuːca
آلوچے	aːlˈuːceː
آلوں	ˈaːlõː
آلٹ	ˈaːləʈ
آلٹر	ˈaːləʈˌər
آلپن	ˈaːləpˌən
آلپنیں	ˈaːləpnẽː
آلکس	ˈaːləkˌəs
آلکسوں	ˈaːləksõː
آلکسی	ˈaːləksi
آلکسیا	ˌaːləkˈʌsjaː
آلکسیوں	ˈaːləksiˌõː
آلکسیں	ˈaːləksẽː
آلگائے	ˌaːlɡˈaːeː
آلہ	ˈaːlˌa
آلہات	ˌaːlaˈaːt
آلہانہ	ˌaːlhˈaːnˌa
آلۂحجم	ˌaːlˈaeːhˌəɟəm
آلی	ˈaːli
آلیاں	ˈaːljãː
آلیت	ˌaːliˈat
آلین	aːlˈiːn
آلیوں	ˈaːliˌõː
آلیہ	aːlˈiːa
آلے	ˈaːleː
آم	ˈaːm
آماج	aːmˈaːɟ
آماجوں	aːmˈaːɟõː
آماجگاہ	ˌaːmaːɟɡˈaːh
آماجگاہیں	ˌaːmaːɟɡˈaːhẽː
آمادگان	ˌaːmaːdɡˈaːn
آمادگی	aːmˈaːdɡˌiː
آمادگیاں	ˌaːmaːdˈʌɡjãː
آمادگیوں	aːmˈaːdɡˌiõː
آمادہ	aːmˈaːda
آماس	aːmˈaːs
آماسیدہ	ˌaːmaːsˈiːda
آمال	aːmˈaːl
آمان	aːmˈaːn
آمد	ˈaːməd
آمدن	ˈaːmədˌən
آمدنی	ˈaːmədni
آمدنیاں	ˌaːmədˈʌnjãː
آمدنیوں	ˈaːmədniˌõː
آمدورفت	ˌaːmdˈoːrəfˌət
آمدہ	ˈaːmdˌa
آمدیا	ˌaːmdˈiːaː
آمدید	ˌaːmdˈiːd
آمدیوں	ˈaːmdˌiõː
آمدیں	ˈaːmdˌẽː
آمر	ˈaːmər
آمرانہ	ˌaːmrˈaːnˌa
آمرزش	ˈaːmərˌəzəʃ
آمرزگا	ˈaːmərˌəzɡˌaː
آمرزگار	ˌaːmərˌəzɡˈaːr
آمرزگاران	ˌaːmərˌəzɡaːrˈaːn
آمرزگاروں	ˌaːmərˌəzɡˈaːrõː
آمرزگاری	ˌaːmərˌəzɡˈaːri
آمرزگاہ	ˌaːmərˌəzɡˈaːh
آمروں	ˈaːmrˌõː
آمری	ˈaːmrˌiː
آمریت	ˌaːməriˈat
آمریتوں	ˌaːmrˈiːtõː
آمریتیں	ˌaːmriˈatẽː
آمرین	ˌaːmrˈiːn
آمغہ	ˈaːməɣa
آمل	ˈaːməl
آملوں	ˈaːmlˌõː
آملک	ˈaːməlˌək
آملکا	ˈaːməlkaː
آملکاؤ	ˌaːməlkˈaːoː
آملکاؤں	ˌaːməlkaːˈoːn
آملکہ	ˈaːməlˌəkˌa
آملہ	ˈaːməla
آملی	ˈaːmlˌiː
آملیٹ	ˌaːmlˈiːʈ
آملیٹوں	ˌaːmlˈiːʈõː
آملے	ˈaːmlˌeː
آمن	ˈaːmən
آمنا	ˈaːmnˌaː
آمنوں	ˈaːmnˌõː
آمنہ	ˈaːməna
آمنی	ˈaːmnˌiː
آمنیں	ˈaːmnˌẽː
آمنے	ˈaːmnˌeː
آموخت	aːmˈoːxt
آموختوں	aːmˈoːxtõː
آموختہ	aːmˈoːxta
آموختے	aːmˈoːxtˌeː
آموز	aːmˈoːz
آموزش	aːmˈoːzəʃ
آموزشیں	aːmˈoːzʃˌẽː
آموزناک	ˌaːmoːznˈaːk
آموزناکہ	ˌaːmoːznˈaːkˌa
آموزناکی	ˌaːmoːznˈaːki
آموزناکیاں	ˌaːmoːznˈaːkjãː
آموزگار	ˌaːmoːzɡˈaːr
آموزگاران	ˌaːmoːzɡaːrˈaːn
آموزگاروں	ˌaːmoːzɡˈaːrõː
آموزگاری	ˌaːmoːzɡˈaːri
آموزگاریاں	ˌaːmoːzɡˈaːrjãː
آموزہ	aːmˈoːzˌa
آموزی	aːmˈoːzi
آمون	aːmˈoːn
آموں	ˈaːmõː
آمیختوں	aːmˈiːxtõː
آمیختگی	aːmˈiːxtəɡˌiː
آمیختہ	aːmˈiːxta
آمیختے	aːmˈiːxtˌeː
آمیز	aːmˈeːz
آمیزش	aːmˈeːzɪʃ
آمیزشوں	aːmˈeːzʃõː
آمیزشیں	aːmˈeːzʃẽː
آمیزوں	aːmˈeːzõː
آمیزگار	aːmˈeːzɡaːr
آمیزہ	aːmˈeːza
آمیزی	aːmˈeːzi
آمیزیاں	aːmˈeːzjãː
آمیزے	aːmˈeːzeː
آمین	aːmˈiːn
آمینوں	aːmˈiːnõː
آمینیں	aːmˈiːnẽː
آن	ˈaːn
آنؤ	ˈaːnˌoː
آنا	ˈaːnaː
آنات	ˌaːnˈaːt
آنار	aːnˈaːr
آناکانی	ˌaːnaːkˈaːni
آنب	ˈaːnb
آنبی	ˈaːnbi
آنت	ˈaːnt
آنتوں	ˈaːntˌõː
آنتڑی	ˈaːnətr.i
آنتڑیاں	ˌaːnətˈʌr.jãː
آنتیں	ˈaːntˌẽː
آنتیہ	ˌaːntˈiːa
آنثر	ˈaːnəsˌər
آنثہ	ˈaːnəsa
آنجن	ˈaːnɟən
آنجنا	ˈaːnɟənˌaː
آنجناب	ˈaːnɟənˌaːb
آنجنی	ˈaːnɟənˌiː
آنجنیاں	ˈaːnɟənjˌãː
آنجھو	ˈaːnɟʰoː
آنجھوؤ	ˈaːnɟʰuːˌoː
آنجھوؤں	ˈaːnɟʰuːˌoːn
آنجہانی	ˈaːnɟəhˌaːni
آنحضرت	ˈaːnəhˌəzərˌət
آنحضور	ˌaːnəhəzˈoːr
آند	ˈaːnd
آندد	ˈaːndəd
آندریا	ˈaːndərjˌaː
آندرے	ˈaːndərˌeː
آندو	ˈaːndoː
آندوؤ	ˈaːnduːˌoː
آندوؤں	ˈaːnduːˌoːn
آندھ	ˈaːndʰ
آندھر	ˈaːndʰər
آندھرا	ˈaːndʰərˌaː
آندھریں	ˈaːndʰərˌẽː
آندھوں	ˈaːndʰõː
آندھی	ˈaːndʰi
آندھیاں	ˈaːndʰjãː
آندھیوں	ˈaːndʰiˌõː
آندھیں	ˈaːndʰẽː
آندہ	ˈaːnda
آنر	ˈaːnər
آنرایبل	ˌaːnraːjˈabəl
آنرت	ˈaːnərˌət
آنرز	aːnˈʌrz
آنروں	ˈaːnrˌõː
آنریبل	ˌaːnrˈiːbəl
آنریبلز	ˌaːnrˈiːbəlˌəz
آنریری	ˌaːnrˈiːri
آنسو	ˈaːnsoː
آنسوؤ	ˈaːnsuːˌoː
آنسوؤں	ˈaːnsuːˌoːn
آنسٹ	ˈaːnsʈ
آنسٹس	ˈaːnsʈs
آنسہ	ˈaːnsəˌa
آنق	ˈaːnəq
آنقہ	ˈaːnəqa
آنلائن	ˌaːnlˈaɪn
آنند	aːnˈʌnd
آنندوں	aːnˈʌndõː
آنندگی	aːnˈʌndəɡˌiː
آنندگیاں	ˌaːnəndˈʌɡjãː
آنندہ	aːnˈʌnda
آنندی	aːnˈʌndi
آنندیاں	aːnˈʌndjãː
آنندیوں	aːnˈʌndiˌõː
آنندیں	aːnˈʌndẽː
آنو	ˈaːnoː
آنول	ˈãːʋəl
آنولا	ˈãːʋlˌaː
آنولوں	ˈãːʋlˌõː
آنولہ	ˈãːʋəla
آنولی	ˈãːʋlˌiː
آنولیں	ˈãːʋlˌẽː
آنولے	ˈãːʋlˌeː
آنون	aːnˈoːn
آنوں	ˈaːnõː
آنٹ	ˈaːnʈ
آنٹا	ˈaːnʈaː
آنٹوں	ˈaːnʈõː
آنٹھی	ˈaːnʈʰi
آنٹھیاں	ˈaːnʈʰjãː
آنٹھیوں	ˈaːnʈʰiˌõː
آنٹی	ˈaːnʈi
آنٹیاں	ˈaːnʈjãː
آنٹیوں	ˈaːnʈiˌõː
آنٹیں	ˈaːnʈẽː
آنچ	ˈaːnc
آنچل	ˈaːncəl
آنچلوں	ˈaːncəlˌõː
آنچو	ˈaːncoː
آنچوؤ	ˈaːncuːˌoː
آنچوؤں	ˈaːncuːˌoːn
آنچوں	ˈaːncõː
آنچیں	ˈaːncẽː
آنڈ	ˈaːnɖ
آنڈو	ˈaːnɖoː
آنڈوؤ	ˈaːnɖuːˌoː
آنڈوؤں	ˈaːnɖuːˌoːn
آنڈوں	ˈaːnɖõː
آنڈی	ˈaːnɖi
آنڈیاں	ˈaːnɖjãː
آنڈے	ˈaːnɖeː
آنڑ	ˈaːnər.
آنڑی	ˈaːnr.ˌiː
آنڑیاں	aːnˈʌr.jãː
آنک	ˈaːnək
آنکا	ˈaːnkˌaː
آنکاؤ	ˌaːnkˈaːoː
آنکائیت	ˌaːnkˌaːiˈat
آنکس	ˈaːnəkˌəs
آنکل	ˈaːnəkˌəl
آنکلی	ˈaːnəkli
آنکوں	ˈaːnkˌõː
آنکڑا	ˈaːnəkr.aː
آنکڑی	ˈaːnəkr.i
آنکڑیاں	ˌaːnəkˈʌr.jãː
آنکھ	ˈaːnkʰ
آنکھوں	ˈaːnkʰˌõː
آنکھیں	ˈaːnkʰˌẽː
آنکہ	ˈaːnəka
آنکیں	ˈaːnkˌẽː
آنگ	ˈaːnɡ
آنگا	ˈaːnɡˌaː
آنگبین	ˌaːnəɡbˈiːn
آنگن	ˈaːnəɡˌən
آنگنوں	ˈaːnəɡnõː
آنگھ	ˈaːnəɡʰ
آنگھی	ˈaːnɡʰˌiː
آنگھیاں	aːnˈʌɡʰjãː
آنگی	ˈaːnɡˌiː
آنگیاں	aːnˈʌɡjãː
آنگے	ˈaːnɡˌeː
آنہ	ˈaːnˌa
آنہڑ	ˈaːnəhˌər.
آنی	ˈaːni
آنین	aːnˈiːn
آنیوالی	ˌaːneːʋˈaːli
آنیوالے	ˌaːneːʋˈaːleː
آنیں	ˈaːnẽː
آنیہ	aːnˈiːa
آنے	ˈaːneː
آو	ˈaːoː
آوا	ˈaːʋaː
آواتار	ˌaːʋaːtˈaːr
آواجائی	ˌaːʋaːɟˈaːi
آواجاہی	ˌaːʋaːɟˈaːhi
آوارا	aːʋˈaːraː
آوارجہ	aːʋˈaːrəɟa
آوارجے	aːʋˈaːrɟˌeː
آوارگان	ˌaːʋaːrɡˈaːn
آوارگاں	aːʋˈaːrɡˌãː
آوارگی	aːʋˈaːrɡˌiː
آوارگیاں	ˌaːʋaːrˈʌɡjãː
آوارگیوں	aːʋˈaːrɡˌiõː
آوارہ	aːʋˈaːrˌa
آواز	aːʋˈaːz
آوازو	aːʋˈaːzoː
آوازوں	aːʋˈaːzõː
آوازہ	aːʋˈaːzˌa
آوازیں	aːʋˈaːzẽː
آوازے	aːʋˈaːzeː
آوان	aːʋˈaːn
آواگمن	aːʋˈaːɡəmˌən
آواگون	ˌaːʋaːɡˈoːn
آواہ	aːʋˈaːh
آواے	aːʋˈaːeː
آوت	aːˈoːt
آوتار	ˌaːoːtˈaːr
آوتیں	aːˈoːtẽː
آوج	aːˈoːɟ
آوخ	aːˈoːx
آوخیں	aːˈoːxẽː
آور	aːʋˈar
آورا	aːʋˈaraː
آورالعین	ˌaːʋarˌaːlaˈiːn
آورتک	aːʋˈartək
آورجہ	aːʋˈarɟəˌa
آورد	aːʋˈard
آوردن	aːʋˈardən
آوردگان	aːʋˈardəɡˌaːn
آوردگاہ	aːʋˈardəɡˌaːh
آوردگاہی	aːʋˈardəɡˌaːhi
آوردہ	aːʋˈarda
آوردیں	aːʋˈardẽː
آوروں	aːʋˈarõː
آوری	aːʋˈari
آون	aːˈoːn
آونا	aːˈoːnaː
آوند	aːˈoːnd
آونگ	aːˈoːnɡ
آونگی	aːˈoːnɡˌiː
آونہ	aːˈoːnˌa
آونیں	aːˈoːnẽː
آووں	ˈaːʋõː
آوٹ	aːˈoːʈ
آوٹنگ	aːˈoːʈɪnɡ
آوٹنگز	ˌaːoːʈˈɪnɡz
آوہ	aːˈoːa
آوی	ˈaːʋi
آویختنہ	aːʋˈiːxtəna
آویختوں	aːʋˈiːxtõː
آویختگان	aːʋˈiːxtəɡˌaːn
آویختہ	aːʋˈiːxta
آویز	aːʋˈeːz
آویزا	aːʋˈeːzaː
آویزاں	aːʋˈeːzãː
آویزش	aːʋˈeːzɪʃ
آویزشوں	aːʋˈeːzʃõː
آویزشیں	aːʋˈeːzʃẽː
آویزو	aːʋˈeːzoː
آویزوں	aːʋˈeːzõː
آویزہ	aːʋˈeːza
آویزے	aːʋˈeːzeː
آویژہ	aːʋˈiːʒˌa
آویں	ˈaːʋẽː
آوے	ˈaːʋeː
آٌ	ˈaːʊn
آَآَاط	ˌaːaˌaːaˈaːt
آُ	ˈaːʊ
آّ	ˈaːː
آّاد	aːːˈaːd
آّار	aːːˈaːr
آْ	ˈaː
آْہ	ˈaːa
آٹ	ˈaːʈ
آٹا	ˈaːʈaː
آٹاپائی	ˌaːʈaːpˈaːi
آٹزم	ˌaːʈɪzˈam
آٹو	ˈaːʈoː
آٹوموبائل	ˌaːʈoːmoːbˈaɪl
آٹومیشن	ˌaːʈoːmeːʃˈan
آٹومیٹک	ˌaːʈoːmˈiːʈək
آٹھ	ˈaːʈʰ
آٹھواں	ˈaːʈʰʋãː
آٹھوں	ˈaːʈʰõː
آٹھویں	ˈaːʈʰʋẽː
آٹھیں	ˈaːʈʰẽː
آٹے	ˈaːʈeː
آپ	ˈaːp
آپا	ˈaːpaː
آپریشن	ˌaːpreːʃˈan
آپریشنز	ˌaːpreːʃˈanz
آپریشنل	ˌaːprˈeːʃnal
آپریشنوں	ˌaːprˈiːʃnˌõː
آپریٹر	ˌaːprˈiːʈər
آپریٹرز	ˌaːpriʈˈʌrz
آپریٹنگ	ˌaːprˈiːʈɪnɡ
آپس	ˈaːpəs
آپسی	ˈaːpsˌiː
آپشن	ˈaːpəʃˌən
آپشنز	ˌaːpʃˈanz
آپنی	ˌaːpnˈiː
آپنے	ˌaːpnˈeː
آپکا	ˈaːpkˌaː
آپکو	ˈaːpkˌoː
آپکی	ˈaːpkˌiː
آپکے	ˈaːpkˌeː
آپی	ˈaːpi
آپیں	ˈaːpẽː
آپے	ˈaːpeː
آچا	ˈaːcaː
آچاؤ	aːcˈaːoː
آچاؤں	ˌaːcaːˈoːn
آچار	aːcˈaːr
آچاروں	aːcˈaːrõː
آچاری	aːcˈaːri
آچاریا	aːcˈaːrjaː
آچاریاں	aːcˈaːrjãː
آچاریوں	aːcˈaːriˌõː
آچاریہ	ˌaːcaːrˈiːa
آچاریے	aːcˈaːrjeː
آچکا	ˈaːckˌaː
آچکی	ˈaːckˌiː
آچکے	ˈaːckˌeː
آچھیں	ˈaːcʰẽː
آڈر	ˈaːɖər
آڈمبر	aːɖˈʌmbər
آڈٹ	ˈaːɖəʈ
آڈیشن	ˌaːɖeːʃˈan
آڈیو	aːɖˈeːoː
آڈیٹر	aːɖˈiːʈər
آڈیٹرز	ˌaːɖiʈˈʌrz
آڈیٹروں	aːɖˈiːʈrˌõː
آڈیٹوریم	ˌaːɖiʈoːrˈiːm
آڈیٹوریمز	ˌaːɖiʈoːrˈiːməz
آڑ	ˈaːr.
آڑا	ˈaːr.aː
آڑبند	ˌaːr.əbˈʌnd
آڑت	ˈaːr.ət
آڑتھ	ˈaːr.ətʰ
آڑو	ˈaːr.oː
آڑوؤں	ˌaːr.uːˈoːn
آڑوں	ˈaːr.õː
آڑھ	ˈaːr.h
آڑھت	ˈaːr.hət
آڑھتوں	ˈaːr.hətˌõː
آڑھتی	ˈaːr.hətˌiː
آڑھتیا	ˈaːr.hətjˌaː
آڑھتیوں	ˈaːr.hətˌiõː
آڑھتیں	ˈaːr.hətˌẽː
آڑھتیے	ˈaːr.hətjˌeː
آڑی	ˈaːr.i
آڑیاں	ˈaːr.jãː
آڑیو	aːr.ˈeːoː
آڑیوں	ˈaːr.iˌõː
آڑیں	ˈaːr.ẽː
آڑے	ˈaːr.eː
آژمیر	ˌaːʒmˈiːr
آژنگ	ˈaːʒənɡ
آک	ˈaːk
آکا	ˈaːkaː
آکاؤ	aːkˈaːoː
آکاؤں	ˌaːkaːˈoːn
آکار	aːkˈaːr
آکاروں	aːkˈaːrõː
آکاریں	aːkˈaːrẽː
آکاس	aːkˈaːs
آکاش	aːkˈaːʃ
آکاشوں	aːkˈaːʃõː
آکاشگنگا	aːkˈaːʃəɡˌənɡˌaː
آکر	ˈaːkər
آکری	ˈaːkrˌiː
آکریاں	aːkˈʌrjãː
آکس	ˈaːkəs
آکسائڈ	ˌaːksˈaɪɖ
آکسائیڈ	ˌaːksaːˈiːɖ
آکسائیڈنٹ	ˌaːksaːˈiːɖənʈ
آکسائیڈنٹس	ˌaːksˌaːiɖənˈʌʈs
آکسفورڈ	ˌaːkəsfˈoːrɖ
آکسن	ˈaːkəsˌən
آکسیجن	ˌaːksˈiːɟən
آکسیڈنٹ	ˌaːksˈiːɖənʈ
آکسیڈینٹس	ˌaːksiɖˈiːnʈs
آکشن	ˈaːkəʃˌən
آکل	ˈaːkəl
آکلانوں	ˌaːklˈaːnõː
آکلانہ	ˌaːklˈaːnˌa
آکلوں	ˈaːklˌõː
آکلہ	ˈaːkəla
آکلین	ˌaːklˈiːn
آکلینڈ	ˌaːklˈiːnɖ
آکن	ˈaːkən
آکول	aːkˈoːl
آکولہ	aːkˈoːlˌa
آکوں	ˈaːkõː
آکٹرائے	ˌaːkəʈrˈaːeː
آکٹراے	ˌaːkəʈrˈaːeː
آکٹوپس	ˌaːkʈˈoːpəs
آکٹوپسز	ˌaːkʈˈoːpəsˌəz
آکٹپس	ˈaːkəʈˌəpəs
آکڑا	ˈaːkr.ˌaː
آکھ	ˈaːkʰ
آکھا	ˈaːkʰaː
آکھاؤ	aːkʰˈaːoː
آکھاؤں	ˌaːkʰaːˈoːn
آکھاس	aːkʰˈaːs
آکھاسی	aːkʰˈaːsi
آکھت	ˈaːkʰət
آکھتوں	ˈaːkʰtˌõː
آکھتیں	ˈaːkʰtˌẽː
آکھر	ˈaːkʰər
آکھروٹ	ˌaːkʰrˈoːʈ
آکھروں	ˈaːkʰrˌõː
آکھریں	ˈaːkʰrˌẽː
آکھلاپن	ˌaːkʰlˈaːpən
آکھوباکھو	ˌaːkʰoːbˈaːkʰoː
آکھی	ˈaːkʰi
آکھیا	ˈaːkʰjaː
آکھیاں	ˈaːkʰjãː
آکھییں	ˈaːkʰjẽː
آکے	ˈaːkeː
آگ	ˈaːɡ
آگئی	aːɡˈai
آگئیں	aːɡˈain
آگئے	aːɡˈaeː
آگا	ˈaːɡaː
آگار	aːɡˈaːr
آگاہ	aːɡˈaːh
آگاہی	aːɡˈaːhi
آگاہیاں	aːɡˈaːhjãː
آگاہیوں	aːɡˈaːhiˌõː
آگر	ˈaːɡər
آگرو	ˈaːɡrˌoː
آگروؤ	ˌaːɡrˈuːoː
آگروؤں	ˌaːɡruːˈoːn
آگرہ	ˈaːɡəra
آگزبرگ	ˈaːɡəzˌəbərˌəɡ
آگل	ˈaːɡəl
آگلا	ˈaːɡlˌaː
آگم	ˈaːɡəm
آگمن	ˈaːɡəmˌən
آگموں	ˈaːɡmˌõː
آگن	ˈaːɡən
آگندوں	aːɡˈʌndõː
آگندگان	ˌaːɡəndəɡˈaːn
آگندہ	aːɡˈʌnda
آگو	ˈaːɡoː
آگوا	ˈaːɡʋaː
آگواؤ	ˈaːɡʋaːˌoː
آگواؤں	ˈaːɡʋaːˌoːn
آگوائیں	ˈaːɡʋaːˌẽː
آگوں	ˈaːɡõː
آگھات	ˌaːɡʰˈaːt
آگھاتیں	aːɡʰˈaːtẽː
آگھر	ˈaːɡʰər
آگہ	ˈaːɡˌa
آگہہ	aːɡˈaha
آگہی	aːɡˈahi
آگہیاں	aːɡˈahjãː
آگہیوں	aːɡˈahiˌõː
آگیا	ˈaːɡjaː
آگینہ	aːɡˈiːnˌa
آگیں	ˈaːɡĩː
آگے	ˈaːɡeː
آگےبڑھنا	ˌaːɡeːbˈʌr.hənˌaː
آں	ˈaːn
آہ	ˈaːh
آہا	ˈaːhaː
آہار	aːhˈaːr
آہاں	ˈaːhãː
آہت	ˈaːhət
آہتی	ˈaːhti
آہتیں	ˈaːhtẽː
آہج	ˈaːhəɟ
آہر	ˈaːhər
آہرن	ˈaːhərˌən
آہستا	aːhˈɪstaː
آہستگی	aːhˈɪstɡi
آہستہ	aːhˈɪsta
آہستے	aːhˈɪsteː
آہل	ˈaːhəl
آہلا	ˈaːhlaː
آہلاؤ	ˈaːhlaːˌoː
آہلاؤں	ˈaːhlaːˌoːn
آہلہ	ˈaːhəla
آہم	ˈaːhəm
آہن	ˈaːhən
آہناب	ˈaːhnaːb
آہنابی	ˈaːhnaːbˌiː
آہنجہ	aːhˈʌnɟəˌa
آہنکار	ˌaːhənkˈaːr
آہنکارن	ˌaːhənkˈaːrən
آہنکاروں	ˌaːhənkˈaːrõː
آہنکاری	ˌaːhənkˈaːri
آہنگ	ˈaːhənɡ
آہنگر	ˈaːhənˌəɡər
آہنگوں	ˈaːhənɡõː
آہنگی	ˈaːhənɡi
آہنی	ˈaːhni
آہنیں	ˈaːhnẽː
آہو	ˈaːhoː
آہوؤں	ˌaːhuːˈoːn
آہوان	ˈaːhʋaːn
آہوانہ	ˈaːhʋaːna
آہوبرہ	aːhˈoːbəra
آہوبرے	aːhˈoːbrˌeː
آہوتی	aːhˈoːti
آہوتیاں	aːhˈoːtjãː
آہوری	aːhˈoːri
آہونگاہ	ˌaːhoːnɡˈaːh
آہوگیر	ˌaːhoːɡˈiːr
آہوں	ˈaːhõː
آہویا	aːhˈoːjaː
آہٹ	ˈaːhəʈ
آہٹوں	ˈaːhʈõː
آہٹیں	ˈaːhʈẽː
آہک	ˈaːhək
آہکی	ˈaːhki
آہی	ˈaːhi
آہین	aːhˈiːn
آہینہ	aːhˈiːnˌa
آہیں	ˈaːhẽː
آہے	ˈaːheː
آی	ˈaːi
آیئں	aːˈiːn
آیئے	aːˈiːeː
آیا	ˈaːjaː
آیاؤں	ˌaːjaːˈoːn
آیائیں	aːjˈaːẽː
آیات	ˌaːiˈaːt
آیاپٹی	aːjˈaːpʈˌiː
آیاں	ˈaːjãː
آیت	ˌaːiˈat
آیتوں	aːˈiːtõː
آیتیں	aːˈiːtẽː
آید	aːˈiːd
آینجان	aːˈiːnɟaːn
آیند	aːˈiːnd
آیندگان	aːˈiːndəɡˌaːn
آیندہ	aːˈiːnda
آیو	aːˈeːoː
آیورویدک	ˌaːeːˈoːrʋidˌək
آیوڈائڈ	ˌaːeːoːɖˈaɪɖ
آیوڈوفارم	ˌaːeːˌoːɖoːfˈaːrəm
آیوڈین	ˌaːeːoːɖˈiːn
آیوں	aːˈeːõː
آیہ	aːˈiːa
آیینہ	aːjˈiːnˌa
آیینے	aːjˈiːneː
آے	ˈaːeː
أءز	zˈʌ
أءِ	ˈɪ
أؤ	ˈoː
أؤءظ	ˈoːʐ
أؤر	ˈoːr
أار	ˈaːr
أاط	ˈaːt
أب	bˈʌ
أت	tˈʌ
أتہ	tˈa
أثہ	sˈʌa
أر	rˈʌ
أرہ	rˈʌa
أش	ʃˈʌ
أض	zˈʌ
أمونيوس	mˌoːneːˈoːs
أو	ˈoː
أوريستيس	ˌoːristˈiːs
أّہج	hˈʌɟ
أہ	ˈa
أہغاد	həɣˈaːd
أہغار	həɣˈaːr
أہْ	h
ؤ	ʋˌaːɔhˈamza
ؤأأ	ˈoː
ؤا	ˈoːaː
ؤاد	oːˈaːd
ؤار	oːˈaːr
ؤجئ	ˈoːɟ
ؤرجاوان	ˌoːrɟaːʋˈaːn
ؤع	ˈoːaː
ؤں	ˈoːn
ؤہ	ˈoːa
ؤہخ	ˈoːhəx
إءز	zˈʌ
إءِ	ˈɪ
إآ	ˈaː
إأل	lˈʌ
إأہ	ˈa
إاد	ˈaːd
إادءِ	ˈaːdˌɪ
إاط	ˈaːt
إب	bˈʌ
إح	ˈah
إحءِ	hˈʌɪ
إحءّ	hˈʌː
إد	dˈʌ
إدہا	dˈʌhaː
إذ	zˈʌ
إغہج	ɣˈʌhəɟ
إن	nˈʌ
إً	ˈan
إُہش	ˈʊhəʃ
إُہع	ˈʊhaː
إُہعاد	ʊhˈaːd
إُہعادءِ	ʊhˈaːdˌɪ
إہ	ˈa
إہا	hˈaː
إہج	hˈʌɟ
ئ	hˈamzajˌeː
ئءض	zˈʌ
ئءضءِ	zˈʌɪ
ئءل	lˈʌ
ئؤ	ˈoː
ئؤئ	ˈoː
ئئغ	ɣˈʌ
ئا	ˈaː
ئاأ	ˈaː
ئاد	ˈaːd
ئب	bˈʌ
ئبہ	bˈʌa
ئبہج	bˈʌhəɟ
ئث	sˈʌ
